Province,District,Long,Lat,Ele,River ,Flat,"Main OCC
Farming
0:No
1:Yes","Second OCC
Farming
0:No
1:Yes","Migration
BackG
0:No
1:Yes","Literate
0:no
1:yes","Gender 
0:F
1:M",Age,"Work on
farm","Work off
farm"," Not
 employed   ","Female
 work
on farm","Importance
of farming
0:not atll Impornt
1:importnt
2:Very impornt","Crop Net
Income",t4,r4
2,8,67.252615,33.028187,2689.387695,0,0,1,0,1,0,1,50,2,0,5,3,2,22950,7.56143025,81.2811605
2,8,67.464493,33.046088,2593.375488,0,0,1,0,1,0,1,63,3,0,6,2,2,19100,8.58701225,58.21509625
2,8,67.538633,32.950198,2442.325684,0,1,1,0,1,1,1,60,2,0,4,3,2,8850,9.8786145,41.33291925
2,8,67.479222,33.167618,2752.278809,0,0,0,0,1,0,1,38,2,0,4,2,2,15750,6.373399,90.6910035
2,8,67.476642,33.172198,2774.458252,0,0,0,1,1,0,1,42,3,1,2,1,1,34500,6.185042,93.0046655
2,8,67.40607,32.969268,2528.24292,0,0,1,0,1,0,1,65,2,0,12,0,0,35783,9.206886,52.2879135
2,8,67.541611,33.155458,2689.383545,0,0,0,0,1,1,1,18,5,4,1,3,1,49075,6.79774925,84.60103225
2,8,67.654337,33.368573,2932.893799,0,0,1,0,0,0,1,38,1,0,8,2,2,2600,5.0887425,101.9250928
2,8,67.557588,33.006382,2490.602295,0,1,0,0,1,0,1,67,3,0,9,2,2,-64540,9.461774,46.70754725
2,8,67.638642,33.126057,2615.432861,0,0,1,1,1,0,1,76,2,0,6,2,2,4250,7.83072775,69.5795135
2,8,67.56316,32.999607,2490.602295,0,1,1,0,1,0,1,55,2,0,6,2,2,-14600,9.461774,46.70754725
2,8,67.364478,33.229012,2926.23999,0,0,1,0,1,1,1,36,2,0,4,2,2,-925,5.376414,99.693777
2,8,67.381673,32.913258,2454.142822,0,0,0,0,1,1,1,35,2,0,3,1,2,39170,9.5609515,50.18326925
2,8,67.422082,32.968407,2521.759277,0,0,1,0,1,1,1,63,1,4,-1,2,2,62150,9.26924625,51.034149
2,8,67.498632,32.94759,2463.443359,0,0,1,0,1,1,1,51,1,2,10,4,2,850,9.72468375,43.196084
2,8,67.497723,32.945167,2447.026855,0,0,1,0,1,0,1,68,3,2,12,3,2,-5000,9.85244675,41.68676925
2,8,67.389045,33.073752,2693.438477,1,0,1,0,1,1,1,86,1,0,6,2,2,5500,7.5310295,73.912283
1,8,67.309342,33.349957,3043.37915,0,0,1,0,1,0,1,60,2,0,11,3,2,11600,4.25923875,100.1200048
2,8,67.658045,33.341205,2902.841064,0,0,1,0,1,0,1,65,2,0,6,1,2,-5400,5.3894345,98.74175075
2,8,67.474812,33.170545,2757.845947,0,0,1,0,1,0,1,73,2,0,3,1,2,48150,6.33415825,91.033657
2,8,67.53131,32.952863,2442.325684,0,1,0,1,0,0,1,45,2,0,6,1,2,-4950,9.8786145,41.33291925
2,8,67.53577,32.948717,2442.325684,0,1,1,0,1,1,1,55,1,0,11,5,2,-17790,9.8786145,41.33291925
2,8,67.658655,33.341085,2902.841064,0,0,0,1,1,1,1,36,2,1,5,1,1,11000,5.3894345,98.74175075
2,8,67.252437,33.028278,2689.387695,0,0,0,0,0,1,1,65,2,0,12,3,2,51950,7.56143025,81.2811605
2,8,67.537632,32.955903,2442.325684,0,1,1,0,1,0,1,55,1,0,5,1,2,19830,9.8786145,41.33291925
2,8,67.25331,33.024777,2689.387695,0,0,1,1,1,0,1,35,3,0,4,1,2,63800,7.56143025,81.2811605
2,8,67.252532,33.028267,2689.387695,0,0,1,0,1,0,1,40,2,0,8,2,2,63280,7.56143025,81.2811605
2,8,67.538675,32.95032,2442.325684,0,1,0,0,1,1,1,54,2,0,6,1,2,-5100,9.8786145,41.33291925
2,8,67.218015,33.200367,2970.23877,0,0,1,0,1,0,1,65,2,0,9,3,2,2000,5.1408485,97.2285805
2,8,67.654077,33.368768,2932.893799,0,0,1,1,0,1,1,38,3,0,4,2,2,15000,5.0887425,101.9250928
2,8,67.536592,32.95129,2442.325684,0,1,1,0,1,1,1,63,2,0,8,3,2,50,9.8786145,41.33291925
2,8,67.409005,33.272567,2946.410156,1,0,1,0,1,0,1,60,3,0,8,2,2,47200,5.07161325,103.3655073
2,8,67.54824,33.18063,2722.486816,0,0,1,0,1,0,1,55,2,0,4,1,2,-39200,6.4628,89.16145725
2,8,67.654412,33.368915,2932.893799,1,0,1,0,0,1,1,36,2,1,5,2,2,11400,5.0887425,101.9250928
2,8,67.538537,32.950218,2442.325684,0,1,0,1,1,1,1,60,3,1,4,2,2,5300,9.8786145,41.33291925
2,8,67.531158,32.952852,2442.325684,0,1,0,0,0,1,1,40,0,1,6,0,0,0,9.8786145,41.33291925
2,8,67.455547,33.053892,2610.157715,0,0,1,0,1,1,1,34,3,0,2,2,2,-16750,8.39968025,60.7632495
2,8,67.263365,33.102198,2803.876465,0,0,0,0,0,1,1,72,3,0,8,2,1,-17120,6.514585,87.85785475
2,8,67.253983,33.037543,2708.797363,0,0,0,0,0,1,1,18,4,0,6,1,2,15075,7.42401725,82.19993575
2,8,67.405615,32.965397,2528.24292,0,0,0,0,1,1,1,30,3,1,5,2,2,6550,9.206886,52.2879135
2,8,67.498663,32.944157,2447.026855,0,0,1,0,1,0,1,45,1,0,7,1,2,91800,9.85244675,41.68676925
2,8,67.382887,33.260262,2949.124512,0,0,1,1,1,0,1,34,4,0,14,3,2,10350,5.1168925,102.785038
2,8,67.47368,33.039558,2587.02124,0,0,1,0,0,0,1,60,2,0,8,2,2,26600,8.6463305,57.3030635
2,8,67.36446,33.229107,2926.23999,0,0,1,0,1,1,1,65,2,1,5,1,2,-39000,5.376414,99.693777
2,8,67.654433,33.368898,2932.893799,0,0,1,0,0,0,1,70,5,0,9,3,2,2220,5.0887425,101.9250928
2,8,67.531172,32.953483,2442.325684,0,1,0,0,1,0,1,53,0,1,14,0,2,-10200,9.8786145,41.33291925
2,8,67.384662,32.912268,2454.142822,0,0,1,0,1,0,1,76,2,1,6,2,2,25475,9.5609515,50.18326925
2,8,67.562797,32.999488,2490.602295,0,1,1,0,1,0,1,70,2,0,9,4,2,-8100,9.461774,46.70754725
2,8,67.51161,32.938562,2440.039795,0,0,1,0,1,1,0,38,1,0,9,2,2,22230,9.90247475,41.0810175
2,8,67.648492,33.37013,2941.024414,0,0,1,1,1,0,1,36,3,0,6,1,2,7100,5.0073335,102.9795095
2,8,67.459718,33.043975,2593.375488,0,0,1,0,1,1,1,70,1,0,7,1,2,33200,8.58701225,58.21509625
2,8,67.410503,32.973172,2546.11377,0,0,0,0,1,1,1,35,0,0,4,1,2,-25800,9.0755395,53.7091865
2,8,67.384892,32.912068,2454.142822,0,0,0,0,1,1,1,37,2,0,3,1,2,38300,9.5609515,50.18326925
2,8,67.463293,33.043483,2593.375488,0,0,0,0,1,1,1,36,4,2,0,2,2,38700,8.58701225,58.21509625
2,8,67.426367,32.968368,2521.759277,0,0,1,1,1,0,1,46,6,0,6,3,2,33200,9.26924625,51.034149
2,8,67.252393,33.02809,2689.387695,0,0,1,0,1,1,1,50,2,0,7,1,2,39950,7.56143025,81.2811605
